tamano_cola,capacidad_total,lambda_sobre_mu,lambda,corrida,prob_denegacion,P_bloqueo_teorico
50,51,0.5,5.0,9,0.0,2.2204460492503136e-16
50,51,0.5,5.0,10,0.0,2.2204460492503136e-16
50,51,0.75,7.5,1,0.0,1.0618534440602214e-07
50,51,0.75,7.5,2,0.0,1.0618534440602214e-07
50,51,0.75,7.5,3,0.0,1.0618534440602214e-07
50,51,0.75,7.5,4,0.0,1.0618534440602214e-07
50,51,0.75,7.5,5,0.0,1.0618534440602214e-07
50,51,0.75,7.5,6,0.0,1.0618534440602214e-07
50,51,0.75,7.5,7,0.0,1.0618534440602214e-07
50,51,0.75,7.5,8,0.0,1.0618534440602214e-07
50,51,0.75,7.5,9,0.0,1.0618534440602214e-07
50,51,0.75,7.5,10,0.0,1.0618534440602214e-07
50,51,1.0,10.0,1,0.006128702757916241,0.019230769230769232
50,51,1.0,10.0,2,0.0,0.019230769230769232
50,51,1.0,10.0,3,0.0,0.019230769230769232
50,51,1.0,10.0,4,0.02929493545183714,0.019230769230769232
50,51,1.0,10.0,5,0.0137524557956778,0.019230769230769232
50,51,1.0,10.0,6,0.0,0.019230769230769232
50,51,1.0,10.0,7,0.037487335359675786,0.019230769230769232
50,51,1.0,10.0,8,0.013937282229965157,0.019230769230769232
50,51,1.0,10.0,9,0.054094292803970226,0.019230769230769232
50,51,1.0,10.0,10,0.034518289541473464,0.019230769230769232
50,51,1.25,12.5,1,0.22441096948628814,0.20000182689373422
50,51,1.25,12.5,2,0.20602218700475436,0.20000182689373422
50,51,1.25,12.5,3,0.1717049576783555,0.20000182689373422
50,51,1.25,12.5,4,0.19959919839679358,0.20000182689373422
50,51,1.25,12.5,5,0.17184265010351968,0.20000182689373422
50,51,1.25,12.5,6,0.1664651350261991,0.20000182689373422
50,51,1.25,12.5,7,0.1587893864013267,0.20000182689373422
50,51,1.25,12.5,8,0.16545893719806765,0.20000182689373422
50,51,1.25,12.5,9,0.20411392405063292,0.20000182689373422
50,51,1.25,12.5,10,0.19992144540455617,0.20000182689373422
